   ,CHANGED,INTERNAL CODE,ENGLISH,ENGLISH HEALTH,ENGLISH PERSONNEL,NETHERLANDS,NL HEALTH,NL PERSONNEL,NORWEGIAN,NOR HEALTH,NOR PERSONNEL,SWEDISH,SWE HEALTH,SWE PERSONNEL,KINESISK,KIN HELSE,KIN PERSONELL,DEBUG,DEBUG HEALTH,DEBUG PERSONELL,GERMAN,GERMAN HEALTH,GERMAN PERSONELL,,
12,3/9/2012,findit.language.primary.db,Debug (do not use),,,Debug (Niet gebruiken),,,,,,,,,,,,19,,,Debug (nicht benutzen),,,,
13,3/9/2012,,,,,,,,,,,,,,,,,20,,,,,,,
14,3/9/2012,findit.language.mapping.nb,no,,,,,,,,,,,,挪文,,,21,,,,,,,
15,3/9/2012,findit.language.mapping.nn,no,,,,,,,,,,,,挪文,,,22,,,,,,,
16,3/9/2012,,,,,,,,,,,,,,,,,23,,,,,,,
18,,,,,,,,,,,,,,,,,,24,,,,,,,
18,6/13/2012,findit.statistics_report.legend,Legend,,,Legenda,,,,,,,,,图例,,,25,,,Legende,,,,
19,6/13/2012,findit.statistics_report.url,"If you have problems viewing this report email correctly, please visit %1 to view it online.",,,Als de rapportage niet goed wordt weergegeven kunt u naar %1 gaan om hem in uw browser te bijkeken,,,,,,,,,如果你有问题，查看本报告的电子邮箱地址正确，请访问%1在线观看。,,,26,,,"Wenn Sie Probleme mit der Anzeige dieser Report-Email haben, besuchen Sie bitte %1, um sie online anzuzeigen",,,,
20,5/4/2012,findit.statistics_report.define.inUse,In Use,,,In gebruik,,,Bruksrapport,,,Användningsrapport,,,在使用中,,,27,,,In Benutzung,,,,
,,findit.statistics_report.define.stateSum,Summarized state,,,,,,Summert tilstand,,,,,,,,,28,,,,,,,
,,findit.statistics_report.define.uptimeCount,Summarized Uptime ,,,,,,Summert oppetid,,,,,,,,,29,,,,,,,
,,findit.statistics_report.define.availabilityCount,Summarized Availability,,,,,,Summert tilgjengelighet,,,,,,,,,30,,,,,,,
20,5/4/2012,findit.statistics_report.config.inUse,"event:inUse,type:state_distribution,granularity:week,focus:true,initial:false",,,,,,,,,,,,事件：都在使用，的类型：state_distribution，粒度：本周重点：真正的，初步假,,,31,,,,,,,
20,5/4/2012,findit.statistics_report.state.inUse,In Use,,,In gebruik,,,,,,,,,在使用中,,,32,,,In Benutzung,,,,
20,5/4/2012,findit.statistics_report.state.inUse.true,Used,,,Gebruikt,,,I bruk,,,Används,,,使用,,,33,,,benutzt,,,,
20,5/4/2012,findit.statistics_report.state.inUse.false,Not used,,,Niet gebruikt,,,Ikke i bruk,,,Används ej,,,未使用,,,34,,,nicht benutzt,,,,
20,8/10/2012,findit.statistics_report.state.inUse.unknown,Unknown,,,Onbekend,,,Ukjent,,,Okänt,,,未知,,,35,,,Unbekannt,,,,
,,,,,,,,,,,,,,,,,,36,,,,,,,
20,8/10/2012,findit.statistics_report.define.goodUse,Use And Uptime,,,Gebruik en Uptime,,,Bruk og oppetid,,,Användning och upptid,,,使用和运行时间,,,37,,,Gebrauch und Uptime,,,,
21,3/9/2012,,,,,,,,,,,,,,,,,38,,,,,,,
22,3/9/2012,findit.statistics_report.define.uptime,Device Uptime,,,Apparaat Uptime,,,Sensoroppetid,,,Enhet upptid,,,设备的运行时间,,,39,,,Gerät ist eingeschaltet seit,,,,
23,3/9/2012,findit.statistics_report.config.uptime,"event:uptime,type:state_distribution,granularity:week,focus:up,initial:down",,,,,,,,,,,,事件：正常运行时间，类型：state_distribution，粒度：本周重点：，初步的,,,40,,,,,,,
24,3/9/2012,findit.statistics_report.state.uptime,Uptime,,,Uptime,,,,,,,,,运行时间,,,41,,,Uptime,,,,
24,3/9/2012,findit.statistics_report.state.uptime.up,Reporting,,,Rapporteert,,,Rapporterer,,,Rapporterar,,,报告,,,42,,,meldet sich,,,,
25,3/9/2012,findit.statistics_report.state.uptime.down,Not reporting,,,Rapporteert niet,,,Rapporterer ikke,,,Rapporterar ej,,,不报,,,43,,,meldet sich nicht,,,,
20,8/10/2012,findit.statistics_report.state.uptime.unknown,Unknown,,,Onbekend,,,Ukjent,,,Okänt,,,未知,,,44,,,Unbekannt,,,,
,,,,,,,,,,,,,,,,,,45,,,,,,,
,,findit.statistics_report.define.available,Availability (graphical),,,Beschikbaarheid (grafisch),,,Tilgjengelighet (grafisk),,,Meddelanden mottagna,,,,,,46,,,Verfügbarkeit (grafisch),,,,
,,findit.statistics_report.sum,Sum,,,Totaal,,,Sum,,,Total,,,,,,47,,,Summe,,,,
,,findit.statistics_report.define.availableCount,Availability (textual),,,Beschikbaarheid (textueel),,,Tilgjengelighet (tekstlig),,,Tillgänglighet (textlig),,,,,,48,,,Verfürgarkeit (in Textform),,,,
,,,,,,,,,,,,,,,,,,49,,,,,,,
,,findit.statistics_report.state.available.true,Available,,,Beschikbaar,,,Tilgjengelig,,,Tillgänglig,,,,,,50,,,verfügbar,,,,
,,findit.statistics_report.state.available.unknown,Unknown,,,Onbekend,,,Ukjent,,,Okänd,,,,,,51,,,unbekannt,,,,
,,findit.statistics_report.state.available.false,Unavailable,,,Niet Beschikbaar,,,Utilgjengelig,,,Otillgänglig,,,,,,52,,,nicht verfügbar,,,,
,,,,,,,,,,,,,,,,,,53,,,,,,,
,2/4/2015,findit.statistics_report.define.zonesOverview,Zones,,,,,,Soner,,,,,,,,,54,,,,,,,
,2/4/2015,findit.statistics_report.zones.total.number.of,Total number of zones: ,,,,,,Totalt antall soner:,,,,,,,,,55,,,,,,,
,2/11/2015,findit.statistics_report.zones.beacons.total.number.of,Total number of beacons positioned by zones:,,,,,,Totalt antall beacons posisjonert av soner:,,,,,,,,,56,,,,,,,
,2/11/2015,findit.statistics_report.zones.battery,BATTERY,,,,,,BATTERI,,,,,,,,,57,,,,,,,
,2/11/2015,findit.statistics_report.zones.last.seen,LAST SEEN,,,,,,SIST SETT,,,,,,,,,58,,,,,,,
,2/11/2015,findit.statistics_report.zones.not.available,N/a,,,,,,Ikke tilgjengelig,,,,,,,,,59,,,,,,,
,2/4/2015,findit.statistics_report.zones.name,NAME,,,,,,NAVN,,,,,,,,,60,,,,,,,
,,,,,,,,,,,,,,,,,,61,,,,,,,
26,8/27/2012,findit.statistics_report.define.messageCount,Messages Received,,,Berichten ontvangen,,,Meldinger mottatt,,,Meddelanden mottagna,,,收到的信息,,,62,,,Nachrichten erhalten,,,,
26,8/27/2012,findit.statistics_report.state.messageReceived,Total,,,Totaal,,,Total,,,Total,,,总共,,,63,,,Insgesamt,,,,
26,8/27/2012,findit.statistics_report.state.messageReceived-IP,Internet,,,Internet,,,Internett,,,Internet,,,,,,64,,,Internet,,,,
26,8/27/2012,findit.statistics_report.state.messageReceived-SMS,SMS,,,SMS,,,SMS,,,SMS,,,短信,,,65,,,SMS,,,,
26,8/27/2012,findit.statistics_report.state.messageReceived-DTMF,DTMF,,,DTMF,,,DTMF,,,DTMF,,,,,,66,,,DTMF,,,,
26,8/27/2012,findit.statistics_report.state.messageReceived-UNKNOWN,Unknown,,,Onbekend,,,Ukjent,,,Okänt,,,未知,,,67,,,Unbekannt,,,,
26,8/27/2012,,,,,,,,,,,,,,,,,68,,,,,,,
26,9/20/2012,findit.statistics_report.define.accountConfiguration,Account Configuration,,,Account overzicht,,,Kontokonfigurasjon,,,Kontokonfiguration,,,帐户配置,,,69,,,Accountverwaltung,,,,
26,9/20/2012,findit.label.report.components,Components,,,Onderdelen,,,Komponenter,,,Komponenter,,,组件,,,70,,,Komponenten,,,,
26,9/20/2012,findit.label.report.component.details,Details,,,Klantgegevens,,,Detaljer,,,Detaljer,,,细节,,,71,,,Details,,,,
26,9/20/2012,findit.label.report.component.asset,Assets,Patients,Persons,Personen/Objecten,,,Eiendeler,Pasienter,Personer,Föremål,Patienter,Personer,资产,,,72,,,,,,,
26,9/20/2012,findit.label.report.component.group,Groups,,,Groepen,,,Grupper,,,Grupper,,,群组,,,73,,,Gruppen,,,,
26,9/20/2012,findit.label.report.component.device,Devices,,,Apparaten,,,Enheter,,,Sensorenheter,,,传感设备,,,74,,,Geräte,,,,
26,9/20/2012,findit.label.report.component.type,Types,,,Types,,,Typer,,,Typer,,,类型,,,75,,,Typ,,,,
26,9/20/2012,findit.label.report.component.zone,Zones,,,Zones,,,Soner,,,Zoner,,,区域,区域,区域,76,,,Zone,,,,
26,9/20/2012,findit.label.report.component.rule,Rules,,,Regels,,,Regler,,,Regler,,,规则,,,77,,,Regeln,,,,
26,9/20/2012,findit.label.report.component.beacon,Beacons,,,Bakens,,,Radiofyr,,,Radiofyr,,,信标,信标,信标,78,,,,,,,
26,9/20/2012,findit.label.report.component.tag,ID-tags,,,ID-tags,,,ID-tags,,,ID-taggar,,,ID-标签,ID-标签,ID-标签,79,,,,,,,
26,9/20/2012,findit.label.report.component.role,Roles,,,Rollen,,,Roller,,,Roller,,,规则,,,80,,,Rollen,,,,
26,9/20/2012,findit.label.report.component.user,Users,,,Gebruikers,,,Brukere,,,Användare,,,用户,,,81,,,Benutzer,,,,
,,,,,,,,,,,,,,,,,,82,,,,,,,
,,findit.statistics_report.define.savedSearch,Saved Search,,,,,,Lagret søk,,,,,,,,,83,,,gespeicherte Suche,,,,
,,findit.label.report.copySearchFrom.leaveAsIs,Leave search query as it is,,,,,,La søkestrenger være som den er,,,,,,,,,84,,,,,,,
,,findit.label.report.copySearchFrom,Copy search query from,,,,,,Kopier søkestrengen fra,,,,,,,,,85,,,Kopiere die Suchanfrage von,,,,
,,findit.statistics_report.define.assetHistory,Asset History,Patient History,Personell History,Geschiedenis,,,Eiendelshistorikk,Pasienthistorikk,Personhistorikk,,,,,,,86,,,,,,,
,,,,,,,,,,,,,,,,,,87,,,,,,,
26,8/27/2012,,,,,,,,,,,,,,,,,88,,,,,,,
27,3/9/2012,findit.package.inherit,Inherit,,,Overnemen,,,Arv,,,Ärva,,,继承,,,89,,,Vererben,,,,
28,3/9/2012,findit.package.indoor,Indoor features,,,Indoor functies,,,Innendørsfunksjoner,,,Inomhusfunktioner,,,室内功能,,,90,,,Indoor Funktionen,,,,
29,3/9/2012,findit.package.basic,Basic features,,,Basisfuncties,,,Basisfunksjoner,,,Grundläggande funktioner,,,基本功能,,,91,,,Grundlegende Funktionen,,,,
29,9/27/2012,findit.package.idteq,IDTEQ,,,,,,,,,,,,,,,92,,,,,,,
29,3/21/2012,findit.package.g4s,G4S,,,G4S,,,,,,,,,,,,93,,,G4S,,,,
29,4/25/2012,findit.package.xguard,X-Guard Service Provider,,,X-Guard Service Provider,,,,,,,,,X-Guard服务提供商,,,94,,,X-Guard Service Provider,,,,
29,4/25/2012,findit.package.xguard_basic,X-Guard Basic Account Features,,,X-Guard Basic Account Features,,,,,,,,,X-Guard基本帐户功能,,,95,,,X-Guard grundlegende Account Features,,,,
29,5/11/2012,findit.package.alarm_center,Alarm Center,,,Alarmcentrale,,,Alarmsenter,,,Larmcentral,,,报警中心,,,96,,,Alarmzentrale,,,,
30,4/25/2012,findit.package.nkf,Sport,,,Sport,,,Sport,,,Sport,,,体育运动,,,97,,,Sport,,,,
,,findit.package.idteq_basic,IDTEQ Basic,,,,,,,,,,,,,,,98,,,,,,,
,,findit.package.tellu,Tellu,,,,,,,,,,,,,,,99,,,,,,,
,,findit.package.standard_widgets,Standard Widgets,,,,,,,,,,,,,,,100,,,,,,,
,,findit.package.elkotek_basic,Elkotek Basic,,,,,,,,,,,,,,,101,,,,,,,
,,findit.package.elkotek,Elkotek,,,,,,,,,,,,,,,102,,,,,,,
,,findit.package.demo,Demo,,,,,,,,,,,,,,,103,,,,,,,
,,findit.package.securinet,Securinet,,,,,,,,,,,,,,,104,,,,,,,
,,findit.package.imatis,Imatis,,,,,,,,,,,,,,,105,,,,,,,
,,findit.package.securitas,Securitas ,,,,,,,,,,,,,,,106,,,,,,,
,,findit.package.honefoss_vaktselskap,Hønefoss Vaktselskap,,,,,,,,,,,,,,,107,,,,,,,
,,findit.package.tno,Telenor Object,,,,,,,,,,,,,,,108,,,,,,,
,,findit.package.securinet_alarm,Securinet Alarm Center,,,,,,,,,,,,,,,109,,,,,,,
,,,,,,,,,,,,,,,,,,110,,,,,,,
31,3/9/2012,findit.map.provider.osm,Open Street Map,,,Open Street Map,,,,,,,,,OpenStreet地图,,,111,,,,,,,
32,3/9/2012,findit.map.provider.google,Google - Streets,,,Google - Streets,,,Google - Gater,,,Google - Gator,,,谷歌 - 街道,,,112,,,,,,,
33,3/9/2012,findit.map.provider.google.satellite,Google - Satellite,,,Google - Satellite,,,Google - Satellitt,,,Google - Satellit,,,谷歌 - 卫星,,,113,,,,,,,
34,3/9/2012,findit.map.provider.google.hybrid,Google - Hybrid (satellite + streets),,,Google - Hybrid (satellite + streets),,,Google - Hybrid (satellitt + gater),,,Google - Hybrid (satellit + gator),,,谷歌 - 混合（卫星+街道）,,,114,,,,,,,
35,3/9/2012,findit.map.provider.google.terrain,Google - Terrain,,,Google - Terrain,,,Google - Terreng,,,Google - Terräng,,,谷歌 - 地形,,,115,,,,,,,
35,3/20/2012,findit.map.provider.statkart,Statens kartverk,,,Statens kartverk,,,,,,,,,Statens kartverk,,,116,,,,,,,
,,findit.map.provider.statkart.sea,Statens kartverk - Sea,,,,,,Statens kartverk - Sjø,,,,,,,,,117,,,,,,,
,,findit.map.provider.statkart.topo2,Statens kartverk - Alternative,,,,,,Statens kartverk - Alternativ,,,,,,,,,118,,,,,,,
,,findit.map.provider.qqmap,QQ Map,,,,,,,,,,,,,,,119,,,,,,,
36,3/9/2012,,,,,,,,,,,,,,,,,120,,,,,,,
37,3/9/2012,findit.phone.country.47,Norway,,,Noorwegen,,,Norge,,,Norge,,,挪威,,,121,,,Norwegen,,,,
37,3/9/2012,findit.phone.country.47.regex,"^[0123678]|[^0-9]|^[49][0-9]{0,6}$|^[49][0-9]{8,}$|^58[0-9]{0,9}$|^58[0-9]{11,}$|^59[0-9]{0,5}$|^59[0-9]{7,}$",,,,,,,,,,,,"^ [^ 1-9] {1，} | [^ 0-9] {1，} | ^ {0,3} $",,,122,,,,,,,
38,3/9/2012,findit.phone.country.46,Sweden,,,Zweden,,,Sverige,,,Sverige,,,瑞典,,,123,,,Schweden,,,,
38,5/11/2012,findit.phone.country.45,Denmark,,,Denemarken,,,Danmark,,,Danmark,,,丹麦,,,124,,,Dänemark,,,,
38,5/11/2012,findit.phone.country.44,United Kingdom,,,Verenigd Koninkrijk,,,England,,,England,,,英联邦,,,125,,,Vereinigtes Königreich,,,,
38,5/11/2012,findit.phone.country.33,France,,,Frankrijk,,,Frankrike,,,Frankrike,,,法国,,,126,,,Frankreich,,,,
38,5/11/2012,findit.phone.country.49,Germany,,,Duitsland,,,Tyskland,,,Tyskland,,,德国,,,127,,,Deutschland,,,,
39,3/9/2012,findit.phone.country.36,Hungary,,,Hongarije,,,Ungarn,,,Ungern,,,匈牙利,,,128,,,Ungarn,,,,
,,findit.phone.country.372,Estonia,,,Estland,,,Estland,,,,,,,,,129,,,,,,,
,,findit.phone.country.48,Poland,,,Polen,,,Polen,,,,,,波兰,,,130,,,Polen,,,,
,,findit.phone.country.380,Ukraine,,,Ukraine,,,Ukraina,,,,,,乌克兰,,,131,,,Ukraine,,,,
,,findit.phone.country.40,Romania,,,Roemenië,,,,,,,,,罗马尼亚,,,132,,,Rumänien,,,,
,,findit.phone.country.261,Madagascar,,,Madagascar,,,,,,,,,马达加斯加,,,133,,,Madagaskar,,,,
40,3/9/2012,findit.phone.country.420,Czech Republic,,,Tsjechische Republiek,,,Tsjekkia,,,Tjeckien,,,捷克共和国,,,134,,,Tschechische Republik,,,,
41,3/9/2012,findit.phone.country.353,Ireland,,,Ierland,,,Irland,,,Irland,,,爱尔兰,,,135,,,Irland,,,,
42,3/9/2012,findit.phone.country.31,Netherlands,,,Nederland,,,Nederland,,,Nederländerna,,,荷兰,,,136,,,Niederlande,,,,
43,10/24/2012,findit.phone.country.86,China,,,China,,,Kina,,,Kina,,,中国,,,137,,,China,,,,
43,10/16/2012,findit.phone.country.32,Belgium,,,België,,,Belgia,,,Belgien,,,比利时,,,138,,,Belgien,,,,
43,10/16/2012,findit.phone.country.66,Thailand,,,Thailand,,,Thailand,,,Thailand,,,泰国,,,139,,,Thailand,,,,
43,10/16/2012,findit.phone.country.60,Malaysia,,,Maleisië,,,Malaysia,,,Malaysia,,,,,,140,,,Malaysia,,,,
43,10/21/2014,findit.phone.country.51,Peru,,,,,,Peru,,,,,,,,,141,,,,,,,
,,findit.phone.country.358,Finland,,,Finland,,,Finland,,,Finland,,,,,,142,,,Finnland,,,,
,,findit.phone.country.599,Bonaire,,,Bonaire,,,,,,,,,,,,143,,,Niederländische Antillen,,,,
,,findit.phone.country.7,Russia,,,,,,Russland,,,,,,,,,144,,,Niederländische Antillen,,,,
,,findit.phone.country.61,Australia,,,,,,,,,,,,,,,145,,,Niederländische Antillen,,,,
,,,,,,,,,,,,,,,,,,146,,,,,,,
44,3/9/2012,,RULE VARIABLES,,,REGEL VARIABELEN,,,,,,,,,规则变量,,,147,,,,,,,
45,3/9/2012,,,,,,,,,,,,,,,,,148,,,,,,,
,,findit.label.rules.activate.key.send_interval,Send interval,,,,,,Interval for rapportering,,,Intervall för rapportering,,,,,,149,,,Sendeintervall,,,,
,,findit.label.rules.activate.key.check_interval,Position interval,,,,,,Interval for posisjonering,,,Intervall för positionering,,,,,,150,,,,,,,
,,findit.label.rules.rebuild.success,Rule engine rebuilt successfully,,,,,,Regelmotor rebygget uten feil,,,,,,,,,,,,,,,,
46,3/9/2012,findit.label.rules.activate.key.asset,Asset,Patient,Person,Object,Patient,Persoon,Eiendel,Pasient,Person,Föremål,Patient,Person,财产,病人,人员,151,,,Objekt,,,,
47,3/9/2012,findit.label.rules.activate.key.group,Group,,,Groep,,,Gruppe,,,Grupp,,,群组,,,152,,,Gruppe,,,,
48,3/9/2012,findit.label.rules.activate.key.minutes,Time delay (min),,,Tijdvertraging (min),,,Tidsforsinkelse (min),,,Tidsfördröjning (min),,,时延（分钟）,,,153,,,Zeitverzögerung (in Minuten),,,,
49,3/9/2012,findit.label.rules.activate.key.zone,Zone,,,Zone,,,Sone,,,Zon,,,区域,,,154,,,Zone,,,,
,,findit.label.rules.activate.key.idteq_grace_after_lock,Time to ignore alarms after lock,,,,,,Ventetid alarmer ignoreres etter lås,,,,,,,,,155,,,"Zeit, um den Alarm nach der Sperrung zu ignorieren",,,,
,,findit.label.rules.activate.key.idteq_grace_after_lock.0,Do not ignore,,,,,,Ikke ignorer,,,,,,,,,156,,,Nicht ignorieren,,,,
,,findit.label.rules.activate.key.idteq_grace_after_lock.1,1 minute,,,,,,1 minutt,,,,,,,,,157,,,1 Minute,,,,
,,findit.label.rules.activate.key.idteq_grace_after_lock.2,2 minutes,,,,,,2 minutter,,,,,,,,,158,,,2 Minuten,,,,
,,findit.label.rules.activate.key.idteq_grace_after_lock.3,3 minutes,,,,,,3 minutter,,,,,,,,,159,,,3 Minuten,,,,
,,findit.label.rules.activate.key.idteq_grace_after_lock.5,5 minutes,,,,,,5 minutter,,,,,,,,,160,,,5 Minuten,,,,
,,findit.label.rules.activate.key.idteq_grace_after_lock.10,10 minutes,,,,,,10 minutter,,,,,,,,,161,,,10 Minuten,,,,
,,findit.label.rules.activate.key.idteq_grace_after_lock.20,20 minutes,,,,,,20 minutter,,,,,,,,,162,,,20 Minuten,,,,
,,findit.label.rules.activate.key.idteq_set_relay,Toggle relay,,,,,,Veksle rele,,,,,,,,,163,,,,,,,
,,findit.label.rules.activate.key.idteq_relay_number,Relay number,,,,,,Relenummer,,,,,,,,,164,,,,,,,
,,findit.label.rules.activate.key.idteq_relay_reset_timeout,Reset relay after (seconds),,,,,,Nullstill rele etter (sekunder),,,,,,,,,165,,,,,,,
,,findit.label.rules.activate.key.idteq_set_relay.yes,Yes,,,,,,Veksle rele,,,,,,,,,166,,,,,,,
,,findit.label.rules.activate.key.idteq_set_relay.no,No,,,,,,Ikke veksl rele,,,,,,,,,167,,,,,,,
,,findit.label.rules.activate.key.idteq_relay_number.1,1,,,,,,1,,,,,,,,,168,,,,,,,
,,findit.label.rules.activate.key.idteq_relay_number.2,2,,,,,,2,,,,,,,,,169,,,,,,,
,,findit.label.rules.activate.key.idteq_relay_number.3,3,,,,,,3,,,,,,,,,170,,,,,,,
,,findit.label.rules.activate.key.idteq_relay_number.4,4,,,,,,4,,,,,,,,,171,,,,,,,
,,findit.label.rules.activate.key.max_speed,Maximum walk speed (m/s),,,,,,,,,,,,,,,172,,,Maximale Laufgeschwindigkeit (m/s),,,,
,,findit.label.rules.activate.key.min_speed,Minimum walk speed (m/s),,,,,,,,,,,,,,,173,,,Minimale Laufgeschwindigkeit (m/s),,,,
49,6/13/2012,findit.label.rules.activate.key.enable_sia,Send over SIA,,,,,,Send over SIA,,,Skicka över SIA,,,发送SIA,,,174,,,über SIA senden,,,,
49,6/13/2012,findit.label.rules.activate.key.enable_sia.true,Enabled,,,Ingeschakeld,,,Aktivert,,,Aktiverad,,,启用,,,175,,,Aktiviert,,,,
49,6/13/2012,findit.label.rules.activate.key.enable_sia.false,Disabled,,,Uitgeschakeld,,,Deaktivert,,,Inaktiverad,,,残疾人,,,176,,,Deaktivert,,,,
50,3/9/2012,findit.label.rules.activate.key.out,Alarm when outside or inside,,,Alarmeert wanneer u zich buiten of binnen bevind,,,Alarm når utenfor eller innenfor,,,Alarm vid utanför eller inuti,,,报警时，室外或室内,,,177,,,Draußen oder drinnen alarmieren,,,,
51,3/9/2012,findit.label.rules.activate.key.out.true,Outside,,,Buiten,,,Utenfor,,,Utanför,,,外,,,178,,,Draußen oder drinnen alarmieren,,,,
52,3/9/2012,findit.label.rules.activate.key.out.false,Inside,,,Binnen,,,Innenfor,,,Inuti,,,内,,,179,,,Drinnen,,,,
53,3/9/2012,findit.label.rules.activate.key.detect_stat,Alarm when motion or stationary,,,Alarmeert bij beweging of stilstand,,,Alarm når stasjonær eller bevegelse,,,Alarm vid rörelse eller stationär,,,运动或静止时发出警报,,,180,,,Alarm bei Bewegung oder Stillstand,,,,
54,3/9/2012,findit.label.rules.activate.key.detect_stat.true,Stationary,,,Stationair,,,Stasjonær,,,Stationär,,,固定的,,,181,,,Stillstand,,,,
55,3/9/2012,findit.label.rules.activate.key.detect_stat.false,Motion,,,Beweging,,,Bevegelse,,,Rörelse,,,运动,,,182,,,Bewegung,,,,
56,3/9/2012,findit.label.rules.activate.key.enable_track,Enable tracking when alarm,,,Tracking aanzetten bij een alarm,,,Muliggjør sporing ved alarm,,,Möjliggör spårning vid alarm,,,启用报警时跟踪,,,183,,,Tracking bei Alarm aktivieren,,,,
57,3/9/2012,findit.label.rules.activate.key.enable_track.true,Yes,,,Ja,,,Ja,,,Ja,,,是,,,184,,,Ja,,,,
58,3/9/2012,findit.label.rules.activate.key.enable_track.false,No,,,Nee,,,Nei,,,Nej,,,没有,,,185,,,Nein,,,,
59,3/9/2012,findit.label.rules.activate.key.timeout_value,Inactivity period (hours),,,Inactiviteitsperiode (uren),,,Inaktivitetsperiode (timer),,,Inaktivitetsperiod (timmar),,,非活动时间（小时）,,,186,,,Inaktivitätsperiode (Stunden),,,,
59,4/19/2012,findit.label.rules.activate.key.timeout_value_minutes,Inactivity period (minutes),,,Inactiviteitsperiode (minuten),,,Inaktivitetsperiode (minutter),,,Inaktivitetsperiod (minuter),,,非活动时间（分钟）,,,187,,,Inaktivitätsperiode (Minuten),,,,
,,findit.label.rules.activate.key.heartrate_limit,Heart Rate Limit,,,,,,Hjertefrekvensgrense,,,,,,,,,188,,,,,,,
,,findit.label.rules.activate.key.activity_limit,Activity Limit,,,,,,Aktivitetsgrense,,,,,,,,,189,,,,,,,
,03/100/2014,findit.label.rules.activate.key.low_battery_threshold,Battery percentage threshold,,,Batterie-Prozentschwelle,,,Batteriprosent-terskel,,,,,,,,,190,,,Batterie-Prozentschwelle,,,,
60,3/9/2012,,RULES,,,REGELS,,,,,,,,,规则,,,191,,,,,,,
61,3/9/2012,,,,,,,,,,,,,,,,,192,,,,,,,
,,findit.rule.title.button_pressed_any_with_raw_sms,Emergency alarm (with custom SMS),,,,,,Nødalarm (med egendefinert SMS),,,,,,,,,193,,,,,,,
,,findit.rule.description.button_pressed_any_with_raw_sms,Temporary emergency alarm rule which sends a custom SMS when triggered.,,,,,,Midlertidig nødalarm som sender en egendefinert SMS hvis aktivert.,,,,,,,,,194,,,,,,,
,,findit.label.rules.activate.key.raw_sms_receiver,"SMS receiver (with country code, like this: 4712341234)",,,,,,SMS-mottager med landskode (slik 4712341234),,,,,,,,,195,,,,,,,
,,findit.label.rules.activate.key.raw_sms_content,SMS message,,,,,,SMS-melding,,,,,,,,,196,,,,,,,
,,findit.rule.activation.button_pressed_any_with_raw_sms,Specify an SMS receiver with country code.,,,,,,Oppgi SMS-mottager med landskode.,,,,,,,,,197,,,,,,,
,,,,,,,,,,,,,,,,,,198,,,,,,,
62,3/9/2012,findit.rule.title.button_pressed_any,Emergency alarm,Panic alarm,,Nood alarm,Paniek alarm,,Nødalarm,Panikkalarm,,Paniklarm,Paniklarm,,紧急报警,,,199,,,Notalarm,,,,
